Gene Symbol	Alias(es)	Gene Name(s)
AATK	lemur tyrosine kinase 1,protein phosphatase 1, regulatory subunit 77; AATYK,KIAA0641,LMTK1,LMR1,AATYK1,PPP1R77	apoptosis associated tyrosine kinase
ABL1	JTK7,c-ABL,p150; v-abl Abelson murine leukemia viral oncogene homolog 1,c-abl oncogene 1, receptor tyrosine kinase,c-abl oncogene 1, non-receptor tyrosine kinase	ABL proto-oncogene 1, non-receptor tyrosine kinase
ABL2	ARG; Abelson-related gene; v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene),v-abl Abelson murine leukemia viral oncogene homolog 2,c-abl oncogene 2, non-receptor tyrosine kinase	ABL proto-oncogene 2, non-receptor tyrosine kinase
ACE	ACE1,CD143; angiotensin I converting enzyme (peptidyl-dipeptidase A) 1; peptidyl-dipeptidase A	angiotensin I converting enzyme
ACE2	ACEH; angiotensin I converting enzyme (peptidyl-dipeptidase A) 2,angiotensin I converting enzyme 2; peptidyl-dipeptidase A	angiotensin converting enzyme 2
ACKR1	atypical chemokine receptor 1,glycoprotein D; CCBP1,GPD,Dfy,CD234; Duffy blood group,Duffy blood group, chemokine receptor,Duffy blood group, atypical chemokine receptor	atypical chemokine receptor 1 (Duffy blood group)
ACKR3	chemokine orphan receptor 1,chemokine (C-X-C motif) receptor 7; RDC1,GPR159	atypical chemokine receptor 3
ACKR4	chemokine (C-C motif) receptor-like 1; CCR11,CCBP2,VSHK1,CCX-CKR,PPR1	atypical chemokine receptor 4
ACTA2	ACTSA; actin, alpha 2, smooth muscle, aorta	actin alpha 2, smooth muscle
ACTG2	ACTSG; actin, gamma 2, smooth muscle, enteric	actin gamma 2, smooth muscle
ACVR1	activin A receptor, type I; SKR1,ALK2,ACVR1A	activin A receptor type 1
ACVR1B	ALK4,SKR2,ActRIB; activin A receptor, type IB	activin A receptor type 1B
ACVR2A	activin A receptor, type II,activin A receptor, type IIA; ACTRII	activin A receptor type 2A
ACVRL1	HHT2,ALK1,HHT; activin A receptor type II-like 1,activin A receptor type IL; activin receptor-like kinase 1	activin A receptor like type 1
ADGRA2	TEM5,DKFZp434C211,DKFZp434J0911,KIAA1531,FLJ14390; tumor endothelial marker 5; G protein-coupled receptor 124	adhesion G protein-coupled receptor A2
ADGRA3	G protein-coupled receptor 125; FLJ38547,PGR21	adhesion G protein-coupled receptor A3
ADGRB2	brain-specific angiogenesis inhibitor 2	adhesion G protein-coupled receptor B2
ADGRB3	brain-specific angiogenesis inhibitor 3; KIAA0550	adhesion G protein-coupled receptor B3
ADGRD1	DKFZp434B1272,PGR25; G protein-coupled receptor 133	adhesion G protein-coupled receptor D1
ADGRE1	egf-like module containing, mucin-like, hormone receptor-like sequence 1,egf-like module containing, mucin-like, hormone receptor-like 1	adhesion G protein-coupled receptor E1
ADGRE2	egf-like module containing, mucin-like, hormone receptor-like sequence 2,egf-like module containing, mucin-like, hormone receptor-like 2; CD312	adhesion G protein-coupled receptor E2
ADGRE5	TM7LN1; leukocyte antigen CD97,seven-span transmembrane protein,seven-transmembrane, heterodimeric receptor associated with inflammation,seven transmembrane helix receptor; CD97 antigen,CD97 molecule	adhesion G protein-coupled receptor E5
ADGRF1	hGPCR36,PGR19; G protein-coupled receptor 110	adhesion G protein-coupled receptor F1
