cluster	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
1-1	CAPS	1.8E-256	0.81	99.9%	95.6%	4.5E-252
1-1	CETN2	5.0E-209	0.75	98.5%	83.7%	1.2E-204
1-1	PIFO	1.1E-206	0.73	99.0%	83.0%	2.7E-202
1-1	C1orf194	5.1E-204	0.77	98.9%	82.4%	1.3E-199
1-1	C9orf24	1.6E-203	0.82	98.8%	86.3%	4.1E-199
1-1	SNTN	8.0E-187	0.80	98.2%	75.2%	2.0E-182
1-1	AGR3	4.6E-179	0.77	98.4%	81.4%	1.2E-174
1-1	C20orf85	2.4E-176	0.67	99.3%	89.2%	5.9E-172
1-1	MORN2	7.1E-171	0.68	97.6%	77.3%	1.8E-166
1-1	PERP	2.2E-166	0.69	97.8%	75.7%	5.6E-162
1-1	HMGN3	1.9E-162	0.63	98.5%	83.6%	4.7E-158
1-1	TMEM59	6.6E-160	0.66	98.2%	82.0%	1.7E-155
1-1	RSPH1	5.9E-158	0.60	99.2%	84.6%	1.5E-153
1-1	CALM1	4.1E-156	0.54	99.3%	90.8%	1.0E-151
1-1	AGR2	9.2E-151	0.90	98.4%	87.3%	2.3E-146
1-1	METRN	1.1E-150	0.71	96.2%	74.6%	2.7E-146
1-1	DYNLL1	3.4E-150	0.54	99.0%	90.9%	8.6E-146
1-1	CD24	1.7E-149	0.64	98.2%	82.9%	4.3E-145
1-1	TXN	3.4E-149	0.60	99.0%	92.3%	8.5E-145
1-1	PRDX5	7.6E-149	0.61	98.8%	91.9%	1.9E-144
1-1	C9orf116	1.2E-148	0.62	97.5%	78.9%	3.0E-144
1-1	IK	7.1E-148	0.65	97.2%	78.4%	1.8E-143
1-1	MORN5	1.1E-147	0.61	94.8%	70.0%	2.7E-143
1-1	FAM183A	2.2E-145	0.61	98.4%	82.9%	5.5E-141
1-1	CFAP126	3.4E-145	0.64	95.9%	72.2%	8.5E-141
1-1	CAPSL	1.3E-144	0.59	97.9%	77.3%	3.2E-140
1-1	IGFBP7	2.2E-143	0.61	98.8%	88.8%	5.5E-139
1-1	C11orf88	6.0E-142	0.65	97.5%	77.1%	1.5E-137
1-1	SPA17	1.4E-140	0.58	95.5%	70.0%	3.4E-136
1-1	ODF3B	1.8E-139	0.64	98.2%	79.4%	4.4E-135
1-1	CCDC146	5.1E-139	0.58	96.6%	74.5%	1.3E-134
1-1	DYNLRB2	2.1E-137	0.63	94.3%	67.8%	5.2E-133
1-1	FAM92B	2.0E-135	0.60	94.9%	67.5%	5.1E-131
1-1	C9orf135	3.8E-135	0.55	93.0%	66.6%	9.5E-131
1-1	PSENEN	1.1E-134	0.61	97.4%	79.9%	2.8E-130
1-1	C5orf49	1.7E-133	0.59	97.4%	80.7%	4.3E-129
1-1	FAM81B	9.8E-133	0.58	92.5%	65.3%	2.4E-128
1-1	ARHGAP18	4.7E-132	0.66	90.8%	65.7%	1.2E-127
1-1	PPIL6	2.1E-130	0.56	89.6%	63.7%	5.2E-126
1-1	SLC44A4	9.1E-129	0.57	88.7%	61.1%	2.3E-124
1-1	RBP1	1.9E-126	0.50	98.9%	87.4%	4.7E-122
1-1	ANKRD66	3.0E-124	0.54	84.5%	55.2%	7.6E-120
1-1	CYSTM1	2.6E-123	0.52	97.7%	82.1%	6.6E-119
1-1	MLF1	5.4E-123	0.51	92.6%	72.1%	1.4E-118
1-1	CFAP52	6.4E-123	0.55	83.3%	54.6%	1.6E-118
1-1	WDR54	6.9E-123	0.54	94.2%	73.0%	1.7E-118
1-1	LRRC23	1.9E-122	0.53	93.9%	69.6%	4.8E-118
1-1	CTSS	2.6E-122	0.62	85.6%	59.3%	6.6E-118
1-1	TAX1BP1	6.6E-122	0.57	95.2%	75.2%	1.6E-117
1-1	TPPP3	2.0E-121	0.66	98.4%	87.8%	5.1E-117
1-1	GON7	3.8E-121	0.54	89.3%	63.1%	9.4E-117
1-1	FAM174A	9.6E-121	0.52	88.0%	63.4%	2.4E-116
1-1	C6	1.4E-120	0.57	80.9%	50.2%	3.6E-116
1-1	TSPAN3	3.1E-120	0.54	92.8%	69.9%	7.7E-116
1-1	CIB1	4.1E-120	0.56	98.0%	83.2%	1.0E-115
1-1	EFCAB1	3.4E-118	0.52	92.4%	68.7%	8.4E-114
1-1	IFT57	4.3E-118	0.50	95.8%	75.7%	1.1E-113
1-1	CCDC170	1.5E-117	0.61	93.9%	71.6%	3.8E-113
1-1	DYDC2	4.1E-117	0.57	84.3%	57.9%	1.0E-112
1-1	ARMC3	6.0E-117	0.57	86.1%	59.7%	1.5E-112
1-1	NME5	1.2E-116	0.50	89.2%	62.7%	2.9E-112
1-1	ENKUR	6.0E-116	0.57	83.8%	57.4%	1.5E-111
1-1	MNS1	1.0E-115	0.52	92.2%	68.6%	2.5E-111
1-1	TCTN1	1.1E-114	0.52	86.5%	62.2%	2.7E-110
1-1	SMIM22	2.0E-114	0.57	92.8%	68.4%	4.9E-110
1-1	C11orf97	2.5E-114	0.58	86.6%	57.4%	6.1E-110
1-1	WDR78	1.2E-111	0.53	83.4%	57.1%	3.1E-107
1-1	MS4A8	1.3E-111	0.56	80.6%	51.1%	3.1E-107
1-1	TSPAN6	2.4E-109	0.59	81.7%	57.0%	5.9E-105
1-1	FAM216B	1.1E-108	0.49	82.8%	56.9%	2.8E-104
1-1	RIIAD1	1.4E-108	0.54	79.7%	50.7%	3.5E-104
1-1	FOXJ1	1.1E-107	0.55	95.4%	73.5%	2.8E-103
1-1	ARL3	1.4E-106	0.49	92.4%	70.9%	3.6E-102
1-1	DRC1	4.8E-106	0.50	81.4%	52.5%	1.2E-101
1-1	CTXN1	2.0E-104	0.50	90.0%	65.6%	4.9E-100
1-1	ROPN1L	2.7E-103	0.50	93.9%	70.5%	6.7E-99
1-1	NUCB2	1.6E-102	0.56	92.0%	69.8%	3.9E-98
1-1	EZR	6.4E-102	0.53	96.9%	77.1%	1.6E-97
1-1	GSTA3	1.5E-101	0.53	77.6%	48.2%	3.8E-97
1-1	C4orf48	1.1E-100	0.59	85.4%	61.2%	2.8E-96
1-1	MT-ND3	6.9E-100	0.49	97.9%	92.0%	1.7E-95
1-1	NELL2	5.8E-99	0.50	75.9%	47.6%	1.5E-94
1-1	CCDC113	1.7E-98	0.55	82.0%	56.9%	4.3E-94
1-1	SPAG6	1.4E-97	0.54	81.0%	58.2%	3.5E-93
1-1	AC013264.1	2.1E-97	0.48	81.7%	54.7%	5.2E-93
1-1	GET1	5.1E-97	0.51	81.4%	59.8%	1.3E-92
1-1	FXYD3	6.5E-97	0.55	91.7%	70.4%	1.6E-92
1-1	TFF3	8.0E-97	1.60	77.0%	47.9%	2.0E-92
1-1	EFCAB10	9.3E-97	0.50	75.5%	49.2%	2.3E-92
1-1	STK33	2.0E-96	0.47	86.7%	63.4%	4.9E-92
1-1	SPATA17	8.9E-96	0.48	77.8%	53.2%	2.2E-91
1-1	FAIM	6.3E-95	0.51	85.7%	65.6%	1.6E-90
1-1	CABCOCO1	1.7E-93	0.48	79.1%	53.8%	4.3E-89
1-1	CKB	1.8E-92	0.49	98.8%	87.6%	4.4E-88
1-1	TTC29	1.5E-91	0.49	72.4%	46.6%	3.8E-87
1-1	KIF21A	1.3E-90	0.55	86.9%	65.5%	3.4E-86
1-1	SCGB2A1	1.4E-89	0.79	96.0%	82.1%	3.5E-85
1-1	AL357093.2	6.9E-89	0.50	93.0%	70.4%	1.7E-84
1-1	STOML3	6.6E-88	0.50	73.0%	46.4%	1.6E-83
1-1	CFAP53	2.6E-87	0.48	85.7%	63.5%	6.6E-83
1-1	WDR86-AS1	2.7E-86	0.50	74.8%	48.0%	6.7E-82
1-1	DNAH9	3.2E-85	0.50	78.2%	55.7%	7.9E-81
1-1	C20orf96	6.4E-85	0.48	78.9%	55.2%	1.6E-80
1-1	TUBA1A	1.6E-84	0.52	97.7%	86.0%	3.9E-80
1-1	LDLRAD1	1.1E-83	0.49	88.7%	66.9%	2.7E-79
1-1	SAMHD1	3.0E-82	0.54	77.3%	53.2%	7.6E-78
1-1	SOD3	2.4E-79	0.73	92.5%	73.5%	6.0E-75
1-1	DNAH5	5.3E-78	0.60	74.1%	49.3%	1.3E-73
1-1	CCDC173	2.9E-77	0.49	80.3%	57.7%	7.2E-73
1-1	ERICH3	9.6E-75	0.62	79.4%	57.2%	2.4E-70
1-1	CTSD	7.5E-72	0.51	93.1%	73.2%	1.9E-67
1-1	MT-ND5	8.9E-72	0.53	95.5%	77.3%	2.2E-67
1-1	TSPAN1	2.1E-71	0.58	84.3%	63.5%	5.3E-67
1-1	PLTP	9.5E-68	0.56	74.2%	54.0%	2.4E-63
1-1	AK1	1.3E-67	0.67	87.9%	69.4%	3.3E-63
1-1	FOLR1	2.2E-67	0.52	95.5%	80.2%	5.5E-63
1-1	RHOB	3.1E-67	0.53	87.2%	67.2%	7.8E-63
1-1	FABP6	6.1E-67	0.58	72.1%	48.9%	1.5E-62
1-1	CST6	6.3E-67	0.58	76.7%	55.7%	1.6E-62
1-1	PDK4	1.6E-65	0.54	84.0%	64.3%	3.9E-61
1-1	ANXA13	2.9E-65	0.48	66.6%	41.6%	7.2E-61
1-1	RHOU	1.4E-61	0.50	69.0%	51.1%	3.6E-57
1-1	IRX3	6.1E-61	0.50	55.5%	29.4%	1.5E-56
1-1	C12orf75	5.6E-60	0.52	75.3%	57.4%	1.4E-55
1-1	NEDD9	6.3E-56	0.48	71.7%	54.9%	1.6E-51
