cluster	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
2-1	CCL14	0.0E+00	2.17	83.2%	3.5%	0.0E+00
2-1	ACKR1	0.0E+00	2.15	66.8%	4.5%	0.0E+00
2-1	SELE	0.0E+00	2.12	56.3%	2.7%	0.0E+00
2-1	C2CD4B	0.0E+00	1.63	75.4%	8.4%	0.0E+00
2-1	CAVIN2	0.0E+00	1.43	84.0%	4.1%	0.0E+00
2-1	SOX18	0.0E+00	1.34	77.6%	2.5%	0.0E+00
2-1	EGFL7	0.0E+00	1.25	85.1%	2.1%	0.0E+00
2-1	VWF	0.0E+00	1.17	75.0%	1.3%	0.0E+00
2-1	A2M	0.0E+00	1.13	86.6%	7.2%	0.0E+00
2-1	CLDN5	0.0E+00	1.12	76.5%	0.9%	0.0E+00
2-1	AQP1	0.0E+00	1.08	68.7%	2.2%	0.0E+00
2-1	MMRN1	0.0E+00	1.03	35.8%	0.4%	0.0E+00
2-1	THBD	0.0E+00	0.96	81.0%	4.2%	0.0E+00
2-1	RAMP2	0.0E+00	0.94	82.5%	2.5%	0.0E+00
2-1	TFPI	0.0E+00	0.90	56.3%	3.0%	0.0E+00
2-1	ITM2A	0.0E+00	0.89	79.1%	7.8%	0.0E+00
2-1	GRASP	0.0E+00	0.88	79.5%	2.7%	0.0E+00
2-1	CD93	0.0E+00	0.83	69.8%	0.8%	0.0E+00
2-1	SLC2A3	0.0E+00	0.82	77.6%	5.3%	0.0E+00
2-1	PECAM1	0.0E+00	0.80	81.0%	0.8%	0.0E+00
2-1	EMCN	0.0E+00	0.74	79.5%	1.4%	0.0E+00
2-1	FAM110D	0.0E+00	0.74	60.1%	0.7%	0.0E+00
2-1	APOLD1	0.0E+00	0.73	73.1%	3.3%	0.0E+00
2-1	FLT1	0.0E+00	0.72	67.2%	0.4%	0.0E+00
2-1	ECSCR	0.0E+00	0.72	77.2%	0.4%	0.0E+00
2-1	ADGRL4	0.0E+00	0.71	75.0%	0.3%	0.0E+00
2-1	ENG	0.0E+00	0.71	73.5%	3.9%	0.0E+00
2-1	ENPP2	0.0E+00	0.65	51.9%	1.6%	0.0E+00
2-1	PIK3R3	0.0E+00	0.65	64.9%	4.1%	0.0E+00
2-1	CLEC14A	0.0E+00	0.63	66.4%	0.3%	0.0E+00
2-1	ADAMTS9	0.0E+00	0.63	65.3%	5.0%	0.0E+00
2-1	ESAM	0.0E+00	0.61	68.3%	1.6%	0.0E+00
2-1	ICAM2	0.0E+00	0.58	63.8%	1.3%	0.0E+00
2-1	LRRC32	0.0E+00	0.57	63.1%	4.2%	0.0E+00
2-1	DIPK2B	0.0E+00	0.54	63.4%	0.3%	0.0E+00
2-1	CD34	0.0E+00	0.54	60.4%	1.3%	0.0E+00
2-1	PLVAP	0.0E+00	0.51	53.7%	0.5%	0.0E+00
2-1	NES	0.0E+00	0.50	53.0%	3.1%	0.0E+00
2-1	RFLNB	0.0E+00	0.47	54.1%	1.8%	0.0E+00
2-1	TIMP3	1.8E-305	1.05	84.7%	11.3%	4.9E-301
2-1	TINAGL1	3.2E-296	0.51	68.3%	7.1%	8.8E-292
2-1	SPARC	7.8E-286	0.59	61.2%	5.8%	2.2E-281
2-1	RGS16	1.2E-258	0.88	59.7%	6.2%	3.4E-254
2-1	ADAMTS4	1.8E-237	0.82	59.0%	6.6%	5.1E-233
2-1	PMP22	4.1E-232	0.79	83.2%	14.9%	1.2E-227
2-1	STOM	4.5E-175	0.82	87.3%	25.1%	1.3E-170
2-1	EPAS1	2.7E-161	0.56	75.0%	15.6%	7.7E-157
2-1	GNG11	7.5E-157	1.20	99.3%	48.3%	2.1E-152
2-1	SRGN	1.6E-148	0.58	67.9%	13.0%	4.3E-144
2-1	PALM2-AKAP2	2.2E-148	0.61	68.7%	14.9%	6.0E-144
2-1	PNP	7.1E-147	0.92	81.7%	23.8%	2.0E-142
2-1	KLF2	7.5E-144	1.23	91.0%	31.5%	2.1E-139
2-1	TCF4	2.1E-135	0.68	88.1%	28.2%	5.9E-131
2-1	HLA-E	2.9E-133	0.99	100.0%	89.9%	8.2E-129
2-1	UPP1	1.0E-127	0.49	56.7%	10.7%	2.9E-123
2-1	PRSS23	1.9E-118	0.50	57.1%	11.7%	5.3E-114
2-1	TGFBR2	2.7E-118	0.53	75.7%	21.9%	7.5E-114
2-1	B2M	1.8E-104	0.82	100.0%	99.2%	5.0E-100
2-1	VIM	2.2E-104	1.14	100.0%	88.3%	6.1E-100
2-1	TMEM70	2.8E-104	0.62	75.7%	25.0%	8.0E-100
2-1	RCAN1	1.3E-103	0.57	60.1%	14.1%	3.7E-99
2-1	GJA1	3.4E-102	0.55	76.1%	23.6%	9.5E-98
2-1	HLA-B	5.6E-102	0.79	99.6%	96.8%	1.6E-97
2-1	MT1M	3.1E-101	0.63	39.2%	6.4%	8.7E-97
2-1	SPARCL1	5.4E-100	1.19	95.1%	54.8%	1.5E-95
2-1	CSRP2	1.4E-97	0.50	58.2%	13.8%	4.1E-93
2-1	HLA-A	6.4E-97	0.73	100.0%	95.0%	1.8E-92
2-1	PLPP3	1.3E-95	0.47	63.1%	16.6%	3.6E-91
2-1	VAMP5	1.5E-94	0.53	84.7%	32.1%	4.1E-90
2-1	DLC1	2.6E-94	0.58	82.1%	29.3%	7.4E-90
2-1	SOCS3	2.3E-92	1.01	97.8%	62.6%	6.5E-88
2-1	MT2A	2.6E-92	1.82	94.8%	56.2%	7.2E-88
2-1	EMP1	8.1E-92	1.03	98.5%	64.7%	2.3E-87
2-1	ID3	1.6E-91	1.28	88.4%	47.2%	4.5E-87
2-1	NDRG1	1.9E-90	0.55	79.9%	29.1%	5.4E-86
2-1	CD59	3.0E-84	0.67	98.9%	87.4%	8.4E-80
2-1	IFI27	6.1E-82	0.88	90.7%	44.5%	1.7E-77
2-1	IL6	1.1E-81	0.69	40.3%	8.1%	3.0E-77
2-1	SPTBN1	1.1E-80	0.63	87.3%	43.0%	3.1E-76
2-1	HLA-C	1.4E-79	0.62	100.0%	95.8%	3.9E-75
2-1	C11orf96	8.6E-78	1.16	86.2%	43.9%	2.4E-73
2-1	TMSB10	1.5E-77	0.62	100.0%	99.5%	4.3E-73
2-1	MT1X	1.2E-76	1.04	76.1%	32.8%	3.3E-72
2-1	GNAI2	9.1E-75	0.54	97.8%	77.9%	2.6E-70
2-1	IGFBP4	3.7E-71	0.71	95.9%	68.1%	1.0E-66
2-1	GADD45B	7.1E-71	0.86	98.5%	79.3%	2.0E-66
2-1	ARID5A	9.9E-71	0.50	70.5%	27.1%	2.8E-66
2-1	NNMT	2.9E-70	0.62	75.7%	29.1%	8.1E-66
2-1	SH3BGRL3	2.4E-69	0.59	97.4%	74.0%	6.7E-65
2-1	HYAL2	1.8E-68	0.63	88.1%	51.1%	5.2E-64
2-1	CAV1	3.4E-68	0.72	98.5%	77.8%	9.6E-64
2-1	CAVIN1	4.9E-64	0.47	91.0%	51.2%	1.4E-59
2-1	CSF3	2.3E-63	0.98	51.5%	15.5%	6.5E-59
2-1	LIFR	1.2E-62	0.47	72.8%	29.6%	3.2E-58
2-1	CCL21	7.1E-61	2.58	22.8%	3.6%	2.0E-56
2-1	ETS2	3.3E-60	0.66	96.6%	74.4%	9.3E-56
2-1	MGP	1.0E-59	0.96	77.6%	36.5%	2.9E-55
2-1	HSPA1A	9.7E-59	0.91	99.6%	87.2%	2.7E-54
2-1	TUBB6	4.5E-58	0.48	85.4%	45.6%	1.3E-53
2-1	CCDC85B	9.4E-57	0.61	94.0%	72.8%	2.6E-52
2-1	SELENOW	2.1E-56	0.51	98.5%	83.2%	5.8E-52
2-1	SPRY1	1.4E-55	0.59	81.3%	40.0%	3.8E-51
2-1	CDKN1A	6.9E-55	0.61	99.3%	75.5%	1.9E-50
2-1	ICAM1	3.3E-53	0.84	85.1%	48.4%	9.2E-49
2-1	IGFBP7	5.0E-52	0.55	100.0%	97.4%	1.4E-47
2-1	SOX17	3.6E-50	0.71	85.1%	51.0%	1.0E-45
2-1	ADAMTS1	1.1E-47	0.63	76.5%	37.3%	3.0E-43
2-1	TM4SF1	5.8E-45	0.63	100.0%	91.6%	1.6E-40
2-1	ID1	4.6E-43	0.70	88.8%	57.4%	1.3E-38
2-1	AKAP12	2.8E-42	0.73	86.6%	54.1%	7.8E-38
2-1	TFF3	3.1E-35	0.86	20.9%	4.8%	8.8E-31
2-1	KLF4	1.5E-34	0.51	83.6%	52.3%	4.3E-30
2-1	VCAM1	4.0E-31	0.51	44.0%	17.0%	1.1E-26
2-1	MT1E	1.4E-28	0.54	35.8%	13.0%	4.0E-24
2-1	PPFIBP1	4.8E-19	0.48	79.5%	54.7%	1.4E-14
2-2	C11orf96	0.0E+00	2.68	92.6%	41.6%	0.0E+00
2-2	IGFBP5	0.0E+00	2.26	88.5%	12.3%	0.0E+00
2-2	TPM2	0.0E+00	2.08	87.2%	34.4%	0.0E+00
2-2	DCN	0.0E+00	2.03	80.6%	13.8%	0.0E+00
2-2	MGP	0.0E+00	1.76	85.8%	34.0%	0.0E+00
2-2	PTGDS	0.0E+00	1.70	61.9%	13.3%	0.0E+00
2-2	LGALS1	0.0E+00	1.68	93.8%	43.0%	0.0E+00
2-2	SFRP4	0.0E+00	1.60	51.3%	3.3%	0.0E+00
2-2	MYH11	0.0E+00	1.28	53.7%	11.1%	0.0E+00
2-2	CNN1	0.0E+00	1.24	60.4%	12.1%	0.0E+00
2-2	RAMP1	0.0E+00	1.13	80.3%	10.1%	0.0E+00
2-2	CRISPLD2	0.0E+00	1.01	78.8%	7.4%	0.0E+00
2-2	COL1A1	0.0E+00	0.96	48.6%	4.3%	0.0E+00
2-2	COL3A1	0.0E+00	0.93	34.6%	1.2%	0.0E+00
2-2	TIMP3	0.0E+00	0.92	70.3%	8.9%	0.0E+00
2-2	ZNF331	0.0E+00	0.90	75.5%	23.6%	0.0E+00
2-2	COL6A2	0.0E+00	0.82	74.2%	12.0%	0.0E+00
2-2	SFRP1	0.0E+00	0.81	40.0%	1.8%	0.0E+00
2-2	SERPINF1	0.0E+00	0.79	60.0%	3.3%	0.0E+00
2-2	MEG3	0.0E+00	0.78	41.6%	1.2%	0.0E+00
2-2	SPARC	0.0E+00	0.76	53.1%	3.8%	0.0E+00
2-2	PPP1R14A	0.0E+00	0.74	45.5%	5.9%	0.0E+00
2-2	COL6A3	0.0E+00	0.71	43.8%	1.5%	0.0E+00
2-2	LUM	0.0E+00	0.70	30.4%	1.5%	0.0E+00
2-2	GEM	0.0E+00	0.63	52.3%	6.2%	0.0E+00
2-2	OGN	0.0E+00	0.63	32.4%	0.6%	0.0E+00
2-2	PLAC9	0.0E+00	0.62	38.6%	2.2%	0.0E+00
2-2	HSPB6	0.0E+00	0.60	63.7%	6.0%	0.0E+00
2-2	ADAMTS4	0.0E+00	0.60	49.2%	4.8%	0.0E+00
2-2	ACKR3	0.0E+00	0.56	39.3%	3.1%	0.0E+00
2-2	TIMP2	0.0E+00	0.51	63.6%	10.8%	0.0E+00
2-2	NEXN	0.0E+00	0.49	40.4%	2.8%	0.0E+00
2-2	MFAP4	0.0E+00	0.48	52.8%	3.7%	0.0E+00
2-2	SMTN	0.0E+00	0.47	47.6%	4.8%	0.0E+00
2-2	TGFB1I1	7.0E-294	0.52	56.1%	12.4%	2.0E-289
2-2	EMP3	5.7E-286	0.58	72.6%	22.0%	1.6E-281
2-2	FBLN1	4.5E-277	1.10	60.9%	16.9%	1.3E-272
2-2	SELENOM	1.5E-274	1.01	86.1%	40.4%	4.2E-270
2-2	IGFBP6	1.1E-271	1.41	72.4%	25.2%	3.0E-267
2-2	CALD1	2.0E-270	1.10	91.8%	63.7%	5.6E-266
2-2	SPARCL1	1.8E-267	1.18	94.8%	53.0%	5.1E-263
2-2	MCAM	7.5E-266	0.48	33.2%	4.4%	2.1E-261
2-2	FHL1	1.9E-256	0.58	66.4%	21.2%	5.4E-252
2-2	APOD	2.2E-249	0.49	25.5%	2.6%	6.1E-245
2-2	FILIP1L	9.9E-243	0.48	48.2%	10.3%	2.8E-238
2-2	ACTA2	3.6E-229	2.11	80.1%	46.2%	1.0E-224
2-2	MYLK	3.1E-218	1.27	67.7%	26.1%	8.8E-214
2-2	KLF2	3.0E-214	0.95	72.6%	30.0%	8.5E-210
2-2	KLF9	4.7E-213	0.54	69.1%	26.2%	1.3E-208
2-2	COL6A1	3.8E-190	0.63	66.6%	25.0%	1.1E-185
2-2	MUSTN1	6.4E-182	0.49	20.0%	2.2%	1.8E-177
2-2	TPM1	1.4E-180	0.91	95.3%	84.1%	3.8E-176
2-2	CREM	4.0E-165	0.59	77.0%	39.4%	1.1E-160
2-2	BST2	6.3E-163	0.52	84.6%	45.1%	1.8E-158
2-2	ADAMTS1	8.8E-163	0.73	77.6%	35.4%	2.5E-158
2-2	TAGLN	7.8E-161	1.84	89.4%	67.8%	2.2E-156
2-2	ID3	2.7E-151	0.73	81.6%	45.7%	7.5E-147
2-2	VIM	2.2E-150	0.75	98.3%	87.9%	6.0E-146
2-2	C7	8.2E-147	0.60	15.0%	1.5%	2.3E-142
2-2	S100A4	1.1E-144	0.74	64.1%	29.1%	3.1E-140
2-2	DES	2.6E-140	1.63	48.5%	17.9%	7.2E-136
2-2	ATP1B3	2.5E-138	0.79	77.5%	46.7%	6.9E-134
2-2	GADD45B	8.6E-135	0.81	94.8%	78.7%	2.4E-130
2-2	FLNA	9.5E-135	0.70	82.0%	56.6%	2.7E-130
2-2	MYC	9.9E-134	0.58	78.0%	44.3%	2.8E-129
2-2	IL6	1.1E-130	0.49	30.9%	7.3%	3.0E-126
2-2	MT1A	7.6E-128	0.69	23.0%	4.3%	2.1E-123
2-2	IGFBP4	7.1E-126	0.57	90.8%	67.1%	2.0E-121
2-2	UBB	4.1E-125	0.49	96.0%	88.0%	1.1E-120
2-2	ACTG2	2.5E-120	1.30	37.9%	12.3%	7.0E-116
2-2	JUNB	4.3E-118	0.53	98.5%	98.3%	1.2E-113
2-2	RARRES2	1.4E-116	0.50	92.6%	72.8%	3.8E-112
2-2	C1R	4.6E-116	0.49	73.4%	37.7%	1.3E-111
2-2	MYL9	9.0E-111	1.16	93.3%	86.0%	2.5E-106
2-2	SOCS3	2.3E-109	0.54	87.9%	61.7%	6.5E-105
2-2	ZCCHC12	9.1E-100	0.50	30.0%	8.5%	2.5E-95
2-2	COL1A2	1.2E-98	0.71	48.0%	17.8%	3.3E-94
2-2	UAP1	7.1E-96	0.48	62.1%	32.1%	2.0E-91
2-2	TUBA1A	3.3E-89	0.52	88.6%	75.3%	9.2E-85
2-2	DSTN	7.6E-89	0.54	97.4%	96.7%	2.1E-84
2-2	MT1M	2.2E-88	0.89	23.2%	6.0%	6.3E-84
2-2	MT2A	3.0E-88	1.56	77.8%	55.5%	8.4E-84
2-2	CSRP1	1.2E-86	0.64	92.6%	88.2%	3.3E-82
2-2	MT1E	1.5E-86	0.76	34.9%	12.0%	4.1E-82
2-2	HSPA1A	1.4E-80	0.73	93.7%	87.0%	3.9E-76
2-2	IGF1	1.4E-72	0.64	32.5%	12.1%	4.0E-68
2-2	HSPA6	3.5E-66	0.55	25.1%	8.3%	9.9E-62
2-2	CCDC80	2.0E-61	1.32	49.4%	25.9%	5.5E-57
2-2	MT1X	7.3E-48	0.76	53.2%	32.4%	2.0E-43
2-2	ADIRF	1.2E-28	0.52	92.7%	86.7%	3.4E-24
2-3	TXNIP	0.0E+00	0.84	80.4%	61.0%	0.0E+00
2-3	ATF3	0.0E+00	0.72	96.8%	93.0%	0.0E+00
2-3	ZFP36L1	0.0E+00	0.67	93.1%	80.8%	0.0E+00
2-3	BTG2	0.0E+00	0.54	94.4%	90.5%	0.0E+00
2-3	SNHG7	0.0E+00	0.53	91.3%	77.1%	0.0E+00
2-3	GAS5	0.0E+00	0.51	84.5%	82.9%	0.0E+00
2-3	JUNB	0.0E+00	0.49	98.6%	98.1%	0.0E+00
2-3	CIRBP	0.0E+00	0.48	98.6%	97.9%	0.0E+00
2-3	LYPD1	0.0E+00	0.47	88.3%	73.7%	0.0E+00
2-3	FOS	1.6E-269	0.63	97.2%	93.6%	4.6E-265
2-3	JUN	6.4E-169	0.53	97.8%	97.6%	1.8E-164
2-3	CRYAB	1.1E-68	0.69	81.5%	76.7%	3.2E-64
2-3	IGKC	8.7E-15	0.93	10.8%	15.4%	2.4E-10
2-4	CXCL1	0.0E+00	1.27	71.8%	43.5%	0.0E+00
2-4	CXCL8	0.0E+00	1.05	69.0%	37.4%	0.0E+00
2-4	LCN2	0.0E+00	1.00	97.4%	84.2%	0.0E+00
2-4	MMP7	0.0E+00	0.93	94.2%	76.5%	0.0E+00
2-4	SERPINB1	0.0E+00	0.89	97.0%	83.0%	0.0E+00
2-4	BIRC3	0.0E+00	0.81	96.2%	71.0%	0.0E+00
2-4	TFPI2	0.0E+00	0.77	85.0%	69.4%	0.0E+00
2-4	PTX3	0.0E+00	0.76	52.3%	16.8%	0.0E+00
2-4	PLAUR	0.0E+00	0.73	81.2%	44.7%	0.0E+00
2-4	SOD2	0.0E+00	0.63	99.6%	92.7%	0.0E+00
2-4	TNFAIP2	0.0E+00	0.60	90.7%	70.3%	0.0E+00
2-4	LAMB3	0.0E+00	0.58	76.3%	38.6%	0.0E+00
2-4	IL4I1	0.0E+00	0.57	71.2%	39.2%	0.0E+00
2-4	TNFRSF12A	0.0E+00	0.57	99.5%	91.8%	0.0E+00
2-4	S100A10	0.0E+00	0.51	100.0%	98.9%	0.0E+00
2-4	PRSS22	0.0E+00	0.51	68.4%	42.6%	0.0E+00
2-4	PHLDA2	0.0E+00	0.50	81.3%	56.1%	0.0E+00
2-4	TUBA1C	0.0E+00	0.50	97.2%	84.0%	0.0E+00
2-4	EZR	0.0E+00	0.48	97.5%	87.2%	0.0E+00
2-4	PDLIM1	0.0E+00	0.48	98.6%	91.0%	0.0E+00
2-4	KRT8	0.0E+00	0.48	99.9%	98.4%	0.0E+00
2-4	S100A6	0.0E+00	0.47	99.9%	98.0%	0.0E+00
2-4	CCL20	1.2E-235	0.91	37.9%	14.3%	3.2E-231
2-4	CXCL2	4.9E-209	0.59	93.9%	82.5%	1.4E-204
2-4	CCL2	2.1E-189	0.52	91.9%	79.6%	6.0E-185
2-4	KRT17	1.8E-181	0.55	84.8%	67.5%	5.0E-177
